OrphaCode,DiseaseName,GeneSymbol,GeneId
540,Familial hemophagocytic lymphohistiocytosis,STXBP2,19047
568,"Microphthalmia, Lenz type",BCOR,15364
568,"Microphthalmia, Lenz type",NAA10,20550
564,Meckel syndrome,TXNDC15,29904
564,Meckel syndrome,TMEM107,24987
564,Meckel syndrome,TCTN1,20312
564,Meckel syndrome,TMEM237,20689
564,Meckel syndrome,RPGRIP1,15227
564,Meckel syndrome,CEP290,15433
564,Meckel syndrome,TMEM67,15629
564,Meckel syndrome,MKS1,16405
564,Meckel syndrome,RPGRIP1L,16985
564,Meckel syndrome,CC2D2A,17353
564,Meckel syndrome,TMEM216,18961
564,Meckel syndrome,TCTN3,21406
564,Meckel syndrome,TCTN2,19840
564,Meckel syndrome,B9D1,20293
564,Meckel syndrome,B9D2,20400
564,Meckel syndrome,TMEM231,21736
564,Meckel syndrome,CSPP1,22594
289,Ellis Van Creveld syndrome,DYNC2LI1,25061
289,Ellis Van Creveld syndrome,GLI1,26044
289,Ellis Van Creveld syndrome,EVC2,16002
289,Ellis Van Creveld syndrome,EVC,16001
289,Ellis Van Creveld syndrome,PRKACA,22913
289,Ellis Van Creveld syndrome,PRKACB,31549
258,Laminin subunit alpha 2-related congenital muscular dystrophy,LAMA2,16332
1646,Chromosome Y microdeletion syndrome,AZF1,29288
1646,Chromosome Y microdeletion syndrome,USP9Y,15703
1646,Chromosome Y microdeletion syndrome,DAZ1,15846
1646,Chromosome Y microdeletion syndrome,DAZ2,15847
1646,Chromosome Y microdeletion syndrome,DAZ3,15848
1646,Chromosome Y microdeletion syndrome,DAZ4,15849
1646,Chromosome Y microdeletion syndrome,DDX3Y,17717
1646,Chromosome Y microdeletion syndrome,RBMY1A1,17752
1646,Chromosome Y microdeletion syndrome,TSPY1,20671
169464,Primary CD59 deficiency,CD59,18955
87,Apert syndrome,FGFR2,16664
97,Familial paroxysmal ataxia,CACNA1A,15391
169467,Recurrent Neisseria infections due to factor D deficiency,CFD,18958
313,Lamellar ichthyosis,SULT2B1,25468
313,Lamellar ichthyosis,ASPRV1,31576
313,Lamellar ichthyosis,SDR9C7,26522
313,Lamellar ichthyosis,ABCA12,15049
313,Lamellar ichthyosis,ALOX12B,15502
313,Lamellar ichthyosis,ALOXE3,15503
313,Lamellar ichthyosis,TGM1,15613
313,Lamellar ichthyosis,CYP4F22,17438
313,Lamellar ichthyosis,NIPAL4,18969
313,Lamellar ichthyosis,LIPN,20102
169799,Mild hemophilia B,F9,16017
169796,Moderate hemophilia B,F9,16017
169793,Severe hemophilia B,F9,16017
1000,Ocular albinism with late-onset sensorineural deafness,AP3D1,24346
171430,Severe congenital nemaline myopathy,ACTA1,15075
171430,Severe congenital nemaline myopathy,NEB,16535
171430,Severe congenital nemaline myopathy,KLHL40,22240
171430,Severe congenital nemaline myopathy,KLHL41,22578
171430,Severe congenital nemaline myopathy,LMOD3,23072
171433,Intermediate nemaline myopathy,TPM3,15649
171433,Intermediate nemaline myopathy,ACTA1,15075
171433,Intermediate nemaline myopathy,NEB,16535
171433,Intermediate nemaline myopathy,KLHL41,22578
171436,Typical nemaline myopathy,ACTA1,15075
171436,Typical nemaline myopathy,CFL2,15439
171436,Typical nemaline myopathy,TPM2,15648
171436,Typical nemaline myopathy,NEB,16535
171436,Typical nemaline myopathy,KLHL41,22578
171436,Typical nemaline myopathy,LMOD3,23072
171439,Childhood-onset nemaline myopathy,TPM2,15648
171439,Childhood-onset nemaline myopathy,MYPN,21896
171439,Childhood-onset nemaline myopathy,ACTA1,15075
171439,Childhood-onset nemaline myopathy,TPM3,15649
171439,Childhood-onset nemaline myopathy,NEB,16535
171439,Childhood-onset nemaline myopathy,KBTBD13,19818
171439,Childhood-onset nemaline myopathy,KLHL41,22578
171445,Muscle filaminopathy,FLNC,16060
171607,X-linked spastic paraplegia type 34,SPG34,18154
2771,Bruck syndrome,PLOD2,15110
2771,Bruck syndrome,FKBP10,19231
171612,Autosomal dominant spastic paraplegia type 37,SPG37,18130
171612,Autosomal dominant spastic paraplegia type 37,KPNA3,31367
171617,Autosomal dominant spastic paraplegia type 38,SPG38,18132
